project_id,client_id,sector,region,client_type,delivery_mode,start_date,end_date,duration_months,contract_value_usd,status,team_headcount,billable_hours,margin_pct
PRJ-00093,CLI-0062,Retail & Consumer,APAC,Existing,Hybrid,2021-04-01,2021-05-01,1,182300.0,Completed,2,299,0.3767
PRJ-00100,CLI-0090,Energy & Utilities,North America,New,Hybrid,2021-04-01,2021-06-01,2,276400.0,Completed,2,482,0.2728
PRJ-00103,CLI-0243,Healthcare,EMEA,Existing,On-site,2021-04-03,2021-09-03,5,190700.0,Completed,1,675,0.2861
PRJ-00090,CLI-0411,Manufacturing,APAC,Existing,Remote,2021-04-04,2021-11-04,7,331000.0,Completed,4,3215,0.3164
PRJ-00089,CLI-0178,Energy & Utilities,EMEA,New,On-site,2021-04-05,2021-09-05,5,562600.0,Completed,7,4965,0.2341
PRJ-00095,CLI-0074,Energy & Utilities,North America,Existing,Remote,2021-04-05,2021-11-05,7,352700.0,Completed,5,4154,0.2407
PRJ-00107,CLI-0251,Technology & Telecom,North America,Existing,On-site,2021-04-06,2021-11-06,7,485300.0,Cancelled,7,6378,0.3061
PRJ-00094,CLI-0212,Public Sector,North America,New,On-site,2021-04-06,2021-08-06,4,278400.0,Completed,1,489,0.242
PRJ-00104,CLI-0082,Technology & Telecom,EMEA,Existing,Remote,2021-04-07,2021-12-07,8,465800.0,Completed,4,4116,0.2428
PRJ-00087,CLI-0059,Healthcare,EMEA,Existing,Hybrid,2021-04-07,2021-09-07,5,473600.0,Completed,5,3936,0.2161
PRJ-00088,CLI-0412,Technology & Telecom,North America,New,Remote,2021-04-09,2021-09-09,5,276700.0,Completed,3,1870,0.2877
PRJ-00092,CLI-0225,Energy & Utilities,EMEA,Existing,Remote,2021-04-09,2021-07-09,3,356400.0,Cancelled,4,1586,0.2635
PRJ-00102,CLI-0052,Healthcare,North America,Existing,Hybrid,2021-04-12,2021-10-12,6,89800.0,Completed,2,1634,0.3348
PRJ-00097,CLI-0012,Retail & Consumer,APAC,New,Hybrid,2021-04-13,2021-08-13,4,428700.0,Completed,2,994,0.2102
PRJ-00113,CLI-0059,Healthcare,LATAM,New,On-site,2021-04-13,2021-09-13,5,120900.0,Completed,1,776,0.2989
PRJ-00086,CLI-0247,Public Sector,North America,Existing,Remote,2021-04-13,2021-08-13,4,288700.0,Completed,2,1210,0.2349
PRJ-00101,CLI-0151,Public Sector,North America,Existing,On-site,2021-04-15,2021-09-15,5,184300.0,Completed,1,762,0.2301
PRJ-00106,CLI-0040,Retail & Consumer,North America,New,Remote,2021-04-15,2021-07-15,3,187300.0,Completed,2,733,0.2487
PRJ-00112,CLI-0195,Energy & Utilities,EMEA,Existing,Hybrid,2021-04-15,2021-12-15,8,496600.0,Completed,5,5178,0.1706
PRJ-00115,CLI-0127,Healthcare,North America,New,Hybrid,2021-04-16,2021-08-16,4,177800.0,Cancelled,3,1802,0.3047
PRJ-00105,CLI-0165,Technology & Telecom,North America,Existing,Hybrid,2021-04-21,2021-05-21,1,159700.0,Completed,4,533,0.3011
PRJ-00099,CLI-0073,Public Sector,EMEA,Existing,On-site,2021-04-22,2021-08-22,4,322700.0,Completed,5,3092,0.3325
PRJ-00098,CLI-0114,Healthcare,North America,Existing,Remote,2021-04-22,2021-09-22,5,264300.0,Completed,4,2859,0.3243
PRJ-00110,CLI-0079,Manufacturing,LATAM,Existing,Hybrid,2021-04-24,2021-06-24,2,196800.0,Completed,1,298,0.3328
PRJ-00108,CLI-0237,Manufacturing,APAC,Existing,Hybrid,2021-04-26,2021-09-26,5,549300.0,Completed,3,2023,0.3357
PRJ-00111,CLI-0156,Energy & Utilities,APAC,Existing,On-site,2021-04-27,2021-10-27,6,730300.0,Completed,9,8111,0.3083
PRJ-00091,CLI-0175,Financial Services,APAC,Existing,On-site,2021-04-27,2021-10-27,6,217800.0,Completed,2,1615,0.2632
PRJ-00096,CLI-0367,Technology & Telecom,EMEA,Existing,Remote,2021-04-27,2021-08-27,4,699100.0,Completed,7,3514,0.1745
PRJ-00114,CLI-0366,Manufacturing,LATAM,New,On-site,2021-04-28,2021-08-28,4,356300.0,Completed,4,1826,0.2431
PRJ-00109,CLI-0157,Manufacturing,LATAM,Existing,Remote,2021-04-28,2021-10-28,6,262200.0,Completed,2,1768,0.131
PRJ-00130,CLI-0365,Technology & Telecom,North America,Existing,On-site,2021-05-01,2021-07-01,2,323100.0,Completed,3,920,0.2503
PRJ-00128,CLI-0189,Manufacturing,North America,Existing,Remote,2021-05-06,2021-09-06,4,375400.0,Completed,6,2890,0.2652
PRJ-00129,CLI-0115,Retail & Consumer,LATAM,New,Hybrid,2021-05-06,2021-11-06,6,481900.0,Completed,6,4648,0.1622
PRJ-00116,CLI-0409,Technology & Telecom,North America,Existing,On-site,2021-05-07,2022-01-07,8,424500.0,Completed,4,4156,0.1574
PRJ-00133,CLI-0072,Financial Services,North America,New,On-site,2021-05-07,2021-07-07,2,411000.0,Cancelled,4,1045,0.1837
PRJ-00126,CLI-0084,Financial Services,North America,Existing,Hybrid,2021-05-08,2021-10-08,5,269000.0,Completed,3,2201,0.3344
PRJ-00123,CLI-0200,Financial Services,APAC,New,Hybrid,2021-05-08,2021-09-08,4,279400.0,Completed,3,1772,0.3827
PRJ-00127,CLI-0115,Retail & Consumer,APAC,Existing,Remote,2021-05-11,2021-08-11,3,227400.0,Completed,2,865,0.2552
PRJ-00124,CLI-0279,Healthcare,APAC,Existing,Hybrid,2021-05-13,2022-01-13,8,569300.0,Completed,5,5265,0.3492
PRJ-00131,CLI-0208,Retail & Consumer,APAC,Existing,Remote,2021-05-14,2021-09-14,4,75100.0,Completed,2,1201,0.4206
PRJ-00122,CLI-0201,Healthcare,LATAM,Existing,Hybrid,2021-05-15,2021-07-15,2,145400.0,Completed,1,246,0.2699
PRJ-00125,CLI-0313,Technology & Telecom,North America,Existing,Remote,2021-05-17,2021-09-17,4,195900.0,Completed,2,1169,0.2666
PRJ-00132,CLI-0367,Technology & Telecom,North America,New,Hybrid,2021-05-19,2021-09-19,4,245000.0,Completed,3,1495,0.3755
PRJ-00117,CLI-0188,Public Sector,North America,New,Hybrid,2021-05-21,2021-08-21,3,327000.0,Completed,3,1076,0.149
PRJ-00119,CLI-0085,Energy & Utilities,North America,Existing,Hybrid,2021-05-23,2021-09-23,4,429300.0,Completed,3,1862,0.3758
PRJ-00120,CLI-0159,Financial Services,EMEA,New,On-site,2021-05-24,2021-10-24,5,496400.0,Completed,6,3808,0.2927
PRJ-00136,CLI-0017,Public Sector,North America,New,On-site,2021-05-25,2021-11-25,6,103800.0,Completed,2,1398,0.2716
PRJ-00118,CLI-0411,Energy & Utilities,APAC,Existing,Hybrid,2021-05-25,2022-01-25,8,558400.0,Cancelled,6,5537,0.2394
PRJ-00121,CLI-0071,Technology & Telecom,EMEA,Existing,Remote,2021-05-26,2021-10-26,5,499900.0,Completed,4,2698,0.2966
PRJ-00134,CLI-0112,Retail & Consumer,LATAM,Existing,Hybrid,2021-05-28,2021-09-28,4,282300.0,Completed,2,1193,0.2142
PRJ-00135,CLI-0182,Public Sector,North America,Existing,Hybrid,2021-05-28,2021-10-28,5,390400.0,Completed,5,3238,0.1782
PRJ-00138,CLI-0397,Energy & Utilities,EMEA,Existing,Remote,2021-06-01,2021-12-01,6,464000.0,Completed,3,2348,0.2268
PRJ-00147,CLI-0267,Healthcare,APAC,Existing,Remote,2021-06-04,2021-07-04,1,212900.0,Completed,5,664,0.2982
PRJ-00140,CLI-0328,Retail & Consumer,APAC,New,Remote,2021-06-04,2021-12-04,6,202600.0,Completed,3,2735,0.2657
PRJ-00137,CLI-0078,Financial Services,North America,Existing,Hybrid,2021-06-05,2022-01-05,7,176100.0,Completed,2,2147,0.2531
PRJ-00142,CLI-0285,Manufacturing,LATAM,New,Hybrid,2021-06-09,2021-10-09,4,360600.0,Completed,4,2492,0.3326
PRJ-00139,CLI-0386,Energy & Utilities,EMEA,Existing,Remote,2021-06-11,2022-03-11,9,760200.0,Completed,10,10330,0.3554
PRJ-00149,CLI-0030,Manufacturing,EMEA,New,Remote,2021-06-11,2022-02-11,8,151100.0,Completed,2,2396,0.243
PRJ-00141,CLI-0050,Manufacturing,APAC,New,Hybrid,2021-06-12,2021-07-12,1,230300.0,Completed,2,277,0.2675
PRJ-00150,CLI-0220,Financial Services,North America,New,On-site,2021-06-13,2021-08-13,2,329300.0,Completed,5,1335,0.2667
PRJ-00146,CLI-0364,Technology & Telecom,North America,Existing,Remote,2021-06-15,2021-10-15,4,362800.0,Completed,4,2361,0.4462
PRJ-00145,CLI-0209,Energy & Utilities,North America,New,Remote,2021-06-17,2021-09-17,3,351600.0,Completed,3,1025,0.2701
PRJ-00143,CLI-0200,Technology & Telecom,North America,New,Remote,2021-06-19,2022-01-19,7,371500.0,Completed,4,4253,0.2997
PRJ-00144,CLI-0127,Energy & Utilities,North America,Existing,Remote,2021-06-22,2021-11-22,5,476000.0,Completed,6,4264,0.2292
PRJ-00151,CLI-0354,Energy & Utilities,North America,Existing,Hybrid,2021-06-23,2021-11-23,5,870800.0,Completed,8,4640,0.302
PRJ-00148,CLI-0244,Manufacturing,North America,Existing,On-site,2021-06-28,2021-09-28,3,101700.0,Completed,1,462,0.243
PRJ-00170,CLI-0356,Manufacturing,APAC,Existing,Hybrid,2021-07-01,2021-11-01,4,111100.0,Completed,2,1243,0.26
PRJ-00166,CLI-0357,Energy & Utilities,North America,New,Remote,2021-07-02,2022-03-02,8,500300.0,Completed,5,5529,0.2578
PRJ-00162,CLI-0252,Manufacturing,North America,Existing,Hybrid,2021-07-06,2021-09-06,2,187200.0,Completed,3,804,0.3798
PRJ-00171,CLI-0065,Healthcare,EMEA,Existing,Hybrid,2021-07-08,2021-10-08,3,205800.0,Cancelled,2,713,0.2499
PRJ-00155,CLI-0174,Healthcare,LATAM,New,On-site,2021-07-09,2021-11-09,4,202700.0,Completed,3,1620,0.2828
PRJ-00156,CLI-0106,Public Sector,APAC,New,Remote,2021-07-10,2021-12-10,5,287300.0,Completed,4,3141,0.3139
PRJ-00163,CLI-0008,Manufacturing,North America,New,Hybrid,2021-07-11,2021-08-11,1,201100.0,Completed,1,147,0.1707
PRJ-00154,CLI-0324,Public Sector,EMEA,Existing,Hybrid,2021-07-11,2021-08-11,1,287300.0,Cancelled,3,358,0.2406
PRJ-00157,CLI-0222,Public Sector,APAC,New,Hybrid,2021-07-11,2021-10-11,3,440200.0,Completed,6,2823,0.2187
PRJ-00161,CLI-0338,Manufacturing,North America,Existing,Hybrid,2021-07-13,2022-01-13,6,466400.0,Cancelled,5,4595,0.254
PRJ-00165,CLI-0008,Energy & Utilities,LATAM,New,Hybrid,2021-07-15,2022-02-15,7,512000.0,Completed,5,5139,0.2471
PRJ-00153,CLI-0388,Healthcare,North America,Existing,On-site,2021-07-15,2021-12-15,5,77700.0,Completed,2,1328,0.3011
PRJ-00167,CLI-0199,Financial Services,North America,Existing,Hybrid,2021-07-15,2021-11-15,4,122800.0,Completed,1,582,0.3406
PRJ-00168,CLI-0309,Healthcare,LATAM,Existing,Hybrid,2021-07-15,2021-08-15,1,157600.0,Completed,2,302,0.2326
PRJ-00159,CLI-0358,Public Sector,North America,Existing,Hybrid,2021-07-15,2021-09-15,2,377300.0,Completed,4,1099,0.2531
PRJ-00152,CLI-0210,Technology & Telecom,North America,New,Hybrid,2021-07-16,2022-01-16,6,190300.0,Completed,1,818,0.2015
PRJ-00158,CLI-0230,Public Sector,North America,Existing,On-site,2021-07-18,2021-12-18,5,153600.0,Completed,2,1309,0.3835
PRJ-00169,CLI-0415,Energy & Utilities,APAC,Existing,Hybrid,2021-07-19,2021-10-19,3,224600.0,Completed,1,383,0.219
PRJ-00172,CLI-0259,Retail & Consumer,North America,Existing,Remote,2021-07-20,2021-08-20,1,186700.0,Completed,1,113,0.3903
PRJ-00160,CLI-0028,Financial Services,EMEA,Existing,Hybrid,2021-07-20,2021-12-20,5,254800.0,Completed,2,1507,0.3075
PRJ-00164,CLI-0104,Financial Services,LATAM,New,On-site,2021-07-20,2021-10-20,3,174800.0,Completed,1,393,0.2485
PRJ-00173,CLI-0223,Public Sector,APAC,Existing,Remote,2021-07-24,2021-10-24,3,257600.0,Cancelled,3,1152,0.2236
PRJ-00174,CLI-0253,Manufacturing,North America,New,Hybrid,2021-07-28,2021-12-28,5,274100.0,Completed,3,2114,0.2428
PRJ-00194,CLI-0039,Public Sector,EMEA,New,Hybrid,2021-08-01,2021-11-01,3,440400.0,Completed,5,2030,0.2346
PRJ-00183,CLI-0015,Energy & Utilities,North America,Existing,On-site,2021-08-04,2021-12-04,4,274700.0,Completed,5,3021,0.2241
PRJ-00179,CLI-0219,Financial Services,North America,Existing,On-site,2021-08-04,2021-12-04,4,320500.0,Completed,5,2263,0.3171
PRJ-00182,CLI-0183,Healthcare,APAC,New,On-site,2021-08-05,2021-12-05,4,240200.0,Completed,4,2469,0.1534
PRJ-00176,CLI-0014,Financial Services,North America,Existing,Hybrid,2021-08-06,2022-01-06,5,381400.0,Completed,3,1810,0.2104
PRJ-00189,CLI-0203,Healthcare,North America,Existing,Hybrid,2021-08-08,2022-02-08,6,406600.0,Completed,8,7408,0.2283
PRJ-00181,CLI-0318,Retail & Consumer,APAC,New,Remote,2021-08-09,2022-02-09,6,103000.0,Completed,1,819,0.2359
PRJ-00190,CLI-0080,Public Sector,North America,New,Hybrid,2021-08-09,2022-01-09,5,215200.0,Completed,3,1733,0.3222
PRJ-00193,CLI-0247,Technology & Telecom,EMEA,Existing,Remote,2021-08-09,2022-03-09,7,346500.0,Completed,3,3113,0.3228
PRJ-00180,CLI-0116,Energy & Utilities,North America,Existing,On-site,2021-08-10,2021-12-10,4,155500.0,Completed,2,1039,0.1291
PRJ-00187,CLI-0237,Financial Services,North America,Existing,Hybrid,2021-08-10,2022-02-10,6,957100.0,Cancelled,9,8058,0.2545
PRJ-00188,CLI-0394,Technology & Telecom,North America,Existing,On-site,2021-08-12,2022-01-12,5,227200.0,Completed,3,2084,0.3274
PRJ-00184,CLI-0112,Technology & Telecom,North America,Existing,Hybrid,2021-08-13,2022-02-13,6,501200.0,Completed,5,3740,0.2951
PRJ-00177,CLI-0196,Healthcare,North America,Existing,Hybrid,2021-08-13,2021-11-13,3,536300.0,Completed,6,2198,0.2872
PRJ-00185,CLI-0109,Energy & Utilities,North America,New,Remote,2021-08-14,2021-12-14,4,263200.0,Completed,5,2759,0.3096
PRJ-00186,CLI-0407,Financial Services,North America,Existing,Remote,2021-08-14,2021-11-14,3,239100.0,Completed,3,1081,0.3023
PRJ-00192,CLI-0107,Energy & Utilities,EMEA,Existing,Remote,2021-08-16,2022-01-16,5,241600.0,Completed,2,1407,0.2649
PRJ-00195,CLI-0354,Technology & Telecom,EMEA,New,On-site,2021-08-17,2021-11-17,3,345700.0,Cancelled,4,1467,0.433
PRJ-00191,CLI-0399,Financial Services,North America,Existing,On-site,2021-08-23,2021-09-23,1,122600.0,Completed,1,127,0.4208
PRJ-00175,CLI-0212,Public Sector,LATAM,Existing,On-site,2021-08-25,2021-10-25,2,261100.0,Completed,3,906,0.2944
PRJ-00178,CLI-0101,Technology & Telecom,LATAM,New,Hybrid,2021-08-27,2022-03-27,7,560300.0,Completed,5,4893,0.2378
PRJ-00196,CLI-0170,Healthcare,EMEA,Existing,Hybrid,2021-09-01,2022-03-01,6,164300.0,Completed,1,731,0.412
PRJ-00208,CLI-0086,Healthcare,EMEA,Existing,Hybrid,2021-09-01,2022-02-01,5,368700.0,Completed,2,1147,0.2672
PRJ-00211,CLI-0304,Financial Services,LATAM,Existing,Hybrid,2021-09-02,2021-12-02,3,117800.0,Completed,1,357,0.3594
PRJ-00224,CLI-0061,Technology & Telecom,EMEA,New,Remote,2021-09-03,2022-06-03,9,317300.0,Completed,4,4619,0.2724
PRJ-00225,CLI-0208,Financial Services,North America,New,Remote,2021-09-04,2022-03-04,6,282800.0,Completed,5,4593,0.2832
