series,month,segment,actual,predicted,lo80,hi80,lo95,hi95
Agriculture,2021-12,history,37200.0,,,,,
Agriculture,2022-01,history,886400.0,,,,,
Agriculture,2022-02,history,108500.0,,,,,
Agriculture,2022-03,history,490100.0,,,,,
Agriculture,2022-04,history,573400.0,,,,,
Agriculture,2022-05,history,329900.0,,,,,
Agriculture,2022-06,history,596600.0,,,,,
Agriculture,2022-07,history,86600.0,,,,,
Agriculture,2022-08,history,176600.0,,,,,
Agriculture,2022-09,history,333600.0,,,,,
Agriculture,2022-10,history,28100.0,,,,,
Agriculture,2022-11,history,171100.0,,,,,
Agriculture,2022-12,history,221200.0,,,,,
Agriculture,2023-01,history,1268900.0,,,,,
Agriculture,2023-02,history,683900.0,,,,,
Agriculture,2023-03,history,191800.0,,,,,
Agriculture,2023-04,history,77600.0,,,,,
Agriculture,2023-05,history,590100.0,,,,,
Agriculture,2023-06,history,807800.0,,,,,
Agriculture,2023-07,history,547700.0,,,,,
Agriculture,2023-08,history,452300.0,,,,,
Agriculture,2023-09,history,195600.0,,,,,
Agriculture,2023-10,history,0.0,,,,,
Agriculture,2023-11,history,505800.0,,,,,
Agriculture,2023-12,history,10500.0,,,,,
Agriculture,2024-01,history,43800.0,,,,,
Agriculture,2024-02,history,316400.0,,,,,
Agriculture,2024-03,history,565500.0,,,,,
Agriculture,2024-04,history,1692500.0,,,,,
Agriculture,2024-05,history,492400.0,,,,,
Agriculture,2024-06,history,122800.0,,,,,
Agriculture,2024-07,history,823700.0,,,,,
Agriculture,2024-08,history,133000.0,,,,,
Agriculture,2024-09,history,73600.0,,,,,
Agriculture,2024-10,history,581500.0,,,,,
Agriculture,2024-11,history,873500.0,,,,,
Agriculture,2024-12,history,199200.0,,,,,
Agriculture,2025-01,holdout,136200.0,494601.02227779577,,,,
Agriculture,2025-02,holdout,867100.0,477533.3461433201,,,,
Agriculture,2025-03,holdout,922600.0,609759.608685115,,,,
Agriculture,2025-04,holdout,777800.0,637932.3840255674,,,,
Agriculture,2025-05,holdout,377400.0,700906.9335365314,,,,
Agriculture,2025-06,holdout,354300.0,565927.8574292626,,,,
Agriculture,2025-07,holdout,755500.0,506445.4346527175,,,,
Agriculture,2025-08,holdout,427000.0,595470.6492095037,,,,
Agriculture,2025-09,holdout,243200.0,482244.06025799806,,,,
Agriculture,2025-10,holdout,229800.0,501080.5309302113,,,,
Agriculture,2025-11,holdout,0.0,453393.56755634036,,,,
Agriculture,2025-12,holdout,70500.0,406836.55062406295,,,,
Agriculture,2026-01,forecast,,347046.77620295185,91477.8644453022,601635.3084924287,0.0,668751.3301043392
Agriculture,2026-02,forecast,,428859.417028235,113042.81240191657,743464.5280000464,0.0,826402.4484056401
Agriculture,2026-03,forecast,,414650.6028252917,109297.5190619052,718832.331701239,0.0,799022.3830974785
Climate and Carbon Markets,2021-01,history,99200.0,,,,,
Climate and Carbon Markets,2021-02,history,0.0,,,,,
Climate and Carbon Markets,2021-03,history,369900.0,,,,,
Climate and Carbon Markets,2021-04,history,347400.0,,,,,
Climate and Carbon Markets,2021-05,history,923900.0,,,,,
Climate and Carbon Markets,2021-06,history,120400.0,,,,,
Climate and Carbon Markets,2021-07,history,200500.0,,,,,
Climate and Carbon Markets,2021-08,history,22300.0,,,,,
Climate and Carbon Markets,2021-09,history,190100.0,,,,,
Climate and Carbon Markets,2021-10,history,225900.0,,,,,
Climate and Carbon Markets,2021-11,history,56800.0,,,,,
Climate and Carbon Markets,2021-12,history,184600.0,,,,,
Climate and Carbon Markets,2022-01,history,507900.0,,,,,
Climate and Carbon Markets,2022-02,history,229300.0,,,,,
Climate and Carbon Markets,2022-03,history,219800.0,,,,,
Climate and Carbon Markets,2022-04,history,320000.0,,,,,
Climate and Carbon Markets,2022-05,history,318600.0,,,,,
Climate and Carbon Markets,2022-06,history,350400.0,,,,,
Climate and Carbon Markets,2022-07,history,650300.0,,,,,
Climate and Carbon Markets,2022-08,history,168000.0,,,,,
Climate and Carbon Markets,2022-09,history,531100.0,,,,,
Climate and Carbon Markets,2022-10,history,304200.0,,,,,
Climate and Carbon Markets,2022-11,history,919300.0,,,,,
Climate and Carbon Markets,2022-12,history,780600.0,,,,,
Climate and Carbon Markets,2023-01,history,334800.0,,,,,
Climate and Carbon Markets,2023-02,history,1544600.0,,,,,
Climate and Carbon Markets,2023-03,history,968600.0,,,,,
Climate and Carbon Markets,2023-04,history,319200.0,,,,,
Climate and Carbon Markets,2023-05,history,983900.0,,,,,
Climate and Carbon Markets,2023-06,history,553100.0,,,,,
Climate and Carbon Markets,2023-07,history,302900.0,,,,,
Climate and Carbon Markets,2023-08,history,556900.0,,,,,
Climate and Carbon Markets,2023-09,history,849600.0,,,,,
Climate and Carbon Markets,2023-10,history,1717000.0,,,,,
Climate and Carbon Markets,2023-11,history,327500.0,,,,,
Climate and Carbon Markets,2023-12,history,1090600.0,,,,,
Climate and Carbon Markets,2024-01,history,1240200.0,,,,,
Climate and Carbon Markets,2024-02,history,545300.0,,,,,
Climate and Carbon Markets,2024-03,history,216300.0,,,,,
Climate and Carbon Markets,2024-04,history,2785100.0,,,,,
Climate and Carbon Markets,2024-05,history,1601300.0,,,,,
Climate and Carbon Markets,2024-06,history,748000.0,,,,,
Climate and Carbon Markets,2024-07,history,2602100.0,,,,,
Climate and Carbon Markets,2024-08,history,2271100.0,,,,,
Climate and Carbon Markets,2024-09,history,600400.0,,,,,
Climate and Carbon Markets,2024-10,history,1623500.0,,,,,
Climate and Carbon Markets,2024-11,history,1978100.0,,,,,
Climate and Carbon Markets,2024-12,history,857600.0,,,,,
Climate and Carbon Markets,2025-01,holdout,1619400.0,1484052.4168515136,,,,
Climate and Carbon Markets,2025-02,holdout,2030600.0,1723900.9880204569,,,,
Climate and Carbon Markets,2025-03,holdout,1147800.0,936663.8805226354,,,,
Climate and Carbon Markets,2025-04,holdout,3310200.0,1496032.1536041491,,,,
Climate and Carbon Markets,2025-05,holdout,775400.0,1658018.9477067967,,,,
Climate and Carbon Markets,2025-06,holdout,2680300.0,1123335.5844131908,,,,
Climate and Carbon Markets,2025-07,holdout,1699500.0,1989284.364238859,,,,
Climate and Carbon Markets,2025-08,holdout,2965000.0,900865.554998598,,,,
Climate and Carbon Markets,2025-09,holdout,4148800.0,1767024.2548895525,,,,
Climate and Carbon Markets,2025-10,holdout,2058500.0,1507032.8026968508,,,,
Climate and Carbon Markets,2025-11,holdout,3333000.0,1748771.8917556617,,,,
Climate and Carbon Markets,2025-12,holdout,2966900.0,1762056.04417723,,,,
Climate and Carbon Markets,2026-01,forecast,,2382238.004977255,1094064.756916676,4620842.592051641,844025.6536100566,5136283.9407918
Climate and Carbon Markets,2026-02,forecast,,2642311.1791540813,1213505.7588198567,5125308.223854798,936169.440403154,5697021.224457096
Climate and Carbon Markets,2026-03,forecast,,2536071.341980347,1164714.134561701,4919234.118933569,898528.7227995226,5467960.1615373995
Creative Economy and Tourism,2021-01,history,464200.0,,,,,
Creative Economy and Tourism,2021-02,history,0.0,,,,,
Creative Economy and Tourism,2021-03,history,129800.0,,,,,
Creative Economy and Tourism,2021-04,history,246900.0,,,,,
Creative Economy and Tourism,2021-05,history,83100.0,,,,,
Creative Economy and Tourism,2021-06,history,104000.0,,,,,
Creative Economy and Tourism,2021-07,history,5900.0,,,,,
Creative Economy and Tourism,2021-08,history,711700.0,,,,,
Creative Economy and Tourism,2021-09,history,401300.0,,,,,
Creative Economy and Tourism,2021-10,history,469800.0,,,,,
Creative Economy and Tourism,2021-11,history,0.0,,,,,
Creative Economy and Tourism,2021-12,history,98400.0,,,,,
Creative Economy and Tourism,2022-01,history,519600.0,,,,,
Creative Economy and Tourism,2022-02,history,55100.0,,,,,
Creative Economy and Tourism,2022-03,history,305300.0,,,,,
Creative Economy and Tourism,2022-04,history,308300.0,,,,,
Creative Economy and Tourism,2022-05,history,270500.0,,,,,
Creative Economy and Tourism,2022-06,history,33100.0,,,,,
Creative Economy and Tourism,2022-07,history,78400.0,,,,,
Creative Economy and Tourism,2022-08,history,29200.0,,,,,
Creative Economy and Tourism,2022-09,history,52100.0,,,,,
Creative Economy and Tourism,2022-10,history,229700.0,,,,,
Creative Economy and Tourism,2022-11,history,48900.0,,,,,
Creative Economy and Tourism,2022-12,history,0.0,,,,,
Creative Economy and Tourism,2023-01,history,120800.0,,,,,
Creative Economy and Tourism,2023-02,history,180800.0,,,,,
Creative Economy and Tourism,2023-03,history,462700.0,,,,,
Creative Economy and Tourism,2023-04,history,459000.0,,,,,
Creative Economy and Tourism,2023-05,history,384100.0,,,,,
Creative Economy and Tourism,2023-06,history,552100.0,,,,,
Creative Economy and Tourism,2023-07,history,924400.0,,,,,
Creative Economy and Tourism,2023-08,history,289100.0,,,,,
Creative Economy and Tourism,2023-09,history,0.0,,,,,
Creative Economy and Tourism,2023-10,history,8400.0,,,,,
Creative Economy and Tourism,2023-11,history,31100.0,,,,,
Creative Economy and Tourism,2023-12,history,1440200.0,,,,,
Creative Economy and Tourism,2024-01,history,93300.0,,,,,
Creative Economy and Tourism,2024-02,history,0.0,,,,,
Creative Economy and Tourism,2024-03,history,303400.0,,,,,
Creative Economy and Tourism,2024-04,history,719300.0,,,,,
Creative Economy and Tourism,2024-05,history,1224600.0,,,,,
Creative Economy and Tourism,2024-06,history,855800.0,,,,,
Creative Economy and Tourism,2024-07,history,260800.0,,,,,
Creative Economy and Tourism,2024-08,history,484600.0,,,,,
Creative Economy and Tourism,2024-09,history,237800.0,,,,,
Creative Economy and Tourism,2024-10,history,455800.0,,,,,
Creative Economy and Tourism,2024-11,history,44000.0,,,,,
Creative Economy and Tourism,2024-12,history,1083000.0,,,,,
Creative Economy and Tourism,2025-01,holdout,11400.0,635990.8554341035,,,,
Creative Economy and Tourism,2025-02,holdout,247300.0,434403.9980980734,,,,
Creative Economy and Tourism,2025-03,holdout,193600.0,578248.5058007566,,,,
Creative Economy and Tourism,2025-04,holdout,1039300.0,446743.07911913143,,,,
Creative Economy and Tourism,2025-05,holdout,784000.0,624433.9530183102,,,,
Creative Economy and Tourism,2025-06,holdout,45300.0,605679.4997436476,,,,
Creative Economy and Tourism,2025-07,holdout,260600.0,530486.1785815159,,,,
Creative Economy and Tourism,2025-08,holdout,0.0,469099.92584641674,,,,
Creative Economy and Tourism,2025-09,holdout,701600.0,406969.32819107996,,,,
Creative Economy and Tourism,2025-10,holdout,131700.0,533756.4992323074,,,,
Creative Economy and Tourism,2025-11,holdout,175100.0,435912.98760266666,,,,
Creative Economy and Tourism,2025-12,holdout,463100.0,445091.08954016154,,,,
Creative Economy and Tourism,2026-01,forecast,,364877.98723062733,5886.323862991681,651746.6479012847,0.0,797968.4697935081
Creative Economy and Tourism,2026-02,forecast,,429119.7593104246,6922.691879775244,766495.5806226822,0.0,938461.7589404293
Creative Economy and Tourism,2026-03,forecast,,431954.76353063004,6968.42703940966,771559.4774922322,0.0,944661.7601973579
Energy,2021-01,history,22800.0,,,,,
Energy,2021-02,history,1242700.0,,,,,
Energy,2021-03,history,787400.0,,,,,
Energy,2021-04,history,34600.0,,,,,
Energy,2021-05,history,1118400.0,,,,,
Energy,2021-06,history,601100.0,,,,,
Energy,2021-07,history,0.0,,,,,
Energy,2021-08,history,921300.0,,,,,
Energy,2021-09,history,707500.0,,,,,
Energy,2021-10,history,48600.0,,,,,
Energy,2021-11,history,899900.0,,,,,
Energy,2021-12,history,312700.0,,,,,
Energy,2022-01,history,195000.0,,,,,
Energy,2022-02,history,1168300.0,,,,,
Energy,2022-03,history,187500.0,,,,,
Energy,2022-04,history,365200.0,,,,,
Energy,2022-05,history,0.0,,,,,
Energy,2022-06,history,360400.0,,,,,
Energy,2022-07,history,343100.0,,,,,
Energy,2022-08,history,384500.0,,,,,
Energy,2022-09,history,0.0,,,,,
Energy,2022-10,history,639900.0,,,,,
Energy,2022-11,history,100600.0,,,,,
Energy,2022-12,history,219700.0,,,,,
Energy,2023-01,history,13900.0,,,,,
Energy,2023-02,history,47000.0,,,,,
Energy,2023-03,history,187600.0,,,,,
Energy,2023-04,history,1410000.0,,,,,
Energy,2023-05,history,272900.0,,,,,
Energy,2023-06,history,284000.0,,,,,
Energy,2023-07,history,915000.0,,,,,
Energy,2023-08,history,1218800.0,,,,,
Energy,2023-09,history,237900.0,,,,,
Energy,2023-10,history,177200.0,,,,,
Energy,2023-11,history,123200.0,,,,,
Energy,2023-12,history,38700.0,,,,,
Energy,2024-01,history,485900.0,,,,,
Energy,2024-02,history,1138500.0,,,,,
Energy,2024-03,history,1477300.0,,,,,
Energy,2024-04,history,1107800.0,,,,,
Energy,2024-05,history,1509100.0,,,,,
Energy,2024-06,history,1201100.0,,,,,
Energy,2024-07,history,218500.0,,,,,
Energy,2024-08,history,1399500.0,,,,,
Energy,2024-09,history,822900.0,,,,,
Energy,2024-10,history,1047000.0,,,,,
Energy,2024-11,history,70400.0,,,,,
Energy,2024-12,history,573100.0,,,,,
Energy,2025-01,holdout,681800.0,647068.4704274352,,,,
Energy,2025-02,holdout,358200.0,560199.2668044033,,,,
Energy,2025-03,holdout,409200.0,514251.16541442677,,,,
Energy,2025-04,holdout,502300.0,527123.6409190032,,,,
Energy,2025-05,holdout,114200.0,490273.9434801401,,,,
Energy,2025-06,holdout,1379200.0,444656.0946450248,,,,
Energy,2025-07,holdout,527400.0,658041.5656546812,,,,
Energy,2025-08,holdout,260400.0,505288.45397265384,,,,
Energy,2025-09,holdout,601800.0,724159.330833209,,,,
Energy,2025-10,holdout,1182400.0,540357.6282424302,,,,
Energy,2025-11,holdout,1806900.0,657246.544688548,,,,
Energy,2025-12,holdout,667400.0,924642.922729894,,,,
Energy,2026-01,forecast,,1548414.9414155923,715308.6812076233,4191461.023383869,356004.28232801746,6084495.396379237
Energy,2026-02,forecast,,2010304.5682111422,928684.0827033964,5441766.943351901,462199.77340986923,7899490.35199724
Energy,2026-03,forecast,,2522113.888535787,1165120.4797950534,6827202.307069153,579872.5656940801,9910644.707361644
Finance and Insurance,2021-01,history,129300.0,,,,,
Finance and Insurance,2021-02,history,38200.0,,,,,
Finance and Insurance,2021-03,history,2152900.0,,,,,
Finance and Insurance,2021-04,history,0.0,,,,,
Finance and Insurance,2021-05,history,652500.0,,,,,
Finance and Insurance,2021-06,history,1480700.0,,,,,
Finance and Insurance,2021-07,history,89900.0,,,,,
Finance and Insurance,2021-08,history,305700.0,,,,,
Finance and Insurance,2021-09,history,1252600.0,,,,,
Finance and Insurance,2021-10,history,90800.0,,,,,
Finance and Insurance,2021-11,history,0.0,,,,,
Finance and Insurance,2021-12,history,114300.0,,,,,
Finance and Insurance,2022-01,history,121000.0,,,,,
Finance and Insurance,2022-02,history,36400.0,,,,,
Finance and Insurance,2022-03,history,423300.0,,,,,
Finance and Insurance,2022-04,history,859500.0,,,,,
Finance and Insurance,2022-05,history,1537100.0,,,,,
Finance and Insurance,2022-06,history,1043400.0,,,,,
Finance and Insurance,2022-07,history,1018800.0,,,,,
Finance and Insurance,2022-08,history,315100.0,,,,,
Finance and Insurance,2022-09,history,162800.0,,,,,
Finance and Insurance,2022-10,history,214900.0,,,,,
Finance and Insurance,2022-11,history,1101700.0,,,,,
Finance and Insurance,2022-12,history,123500.0,,,,,
Finance and Insurance,2023-01,history,112200.0,,,,,
Finance and Insurance,2023-02,history,533100.0,,,,,
Finance and Insurance,2023-03,history,855100.0,,,,,
Finance and Insurance,2023-04,history,1038600.0,,,,,
Finance and Insurance,2023-05,history,1459500.0,,,,,
Finance and Insurance,2023-06,history,653400.0,,,,,
Finance and Insurance,2023-07,history,437200.0,,,,,
Finance and Insurance,2023-08,history,153200.0,,,,,
Finance and Insurance,2023-09,history,1345000.0,,,,,
Finance and Insurance,2023-10,history,236100.0,,,,,
Finance and Insurance,2023-11,history,255800.0,,,,,
Finance and Insurance,2023-12,history,451900.0,,,,,
Finance and Insurance,2024-01,history,134100.0,,,,,
Finance and Insurance,2024-02,history,574300.0,,,,,
Finance and Insurance,2024-03,history,1138300.0,,,,,
Finance and Insurance,2024-04,history,718800.0,,,,,
Finance and Insurance,2024-05,history,397900.0,,,,,
Finance and Insurance,2024-06,history,833800.0,,,,,
Finance and Insurance,2024-07,history,257500.0,,,,,
Finance and Insurance,2024-08,history,301200.0,,,,,
Finance and Insurance,2024-09,history,671300.0,,,,,
Finance and Insurance,2024-10,history,158500.0,,,,,
Finance and Insurance,2024-11,history,31100.0,,,,,
Finance and Insurance,2024-12,history,530700.0,,,,,
Finance and Insurance,2025-01,holdout,23400.0,489216.52004,,,,
Finance and Insurance,2025-02,holdout,475000.0,441872.9435420889,,,,
Finance and Insurance,2025-03,holdout,1582300.0,479593.0793058541,,,,
Finance and Insurance,2025-04,holdout,537100.0,670879.0081583387,,,,
Finance and Insurance,2025-05,holdout,772800.0,599201.8307151939,,,,
Finance and Insurance,2025-06,holdout,1591100.0,1071625.195880046,,,,
Finance and Insurance,2025-07,holdout,23700.0,809217.323831866,,,,
Finance and Insurance,2025-08,holdout,251600.0,482360.8482479627,,,,
Finance and Insurance,2025-09,holdout,316900.0,856681.5498157331,,,,
Finance and Insurance,2025-10,holdout,1563000.0,451534.08466661745,,,,
Finance and Insurance,2025-11,holdout,281200.0,654602.3488235604,,,,
Finance and Insurance,2025-12,holdout,815500.0,486458.78580903925,,,,
Finance and Insurance,2026-01,forecast,,731430.4424460327,34307.06321162702,2256448.0308335936,26806.192456152807,2594125.5132944146
Finance and Insurance,2026-02,forecast,,544231.3703794087,25526.665205399047,1678942.702881953,19945.534132102544,1930196.5041475203
Finance and Insurance,2026-03,forecast,,485443.09932221525,22769.256141979855,1497582.0829718742,17791.002933136377,1721695.264683201
Public Sector,2021-01,history,514700.0,,,,,
Public Sector,2021-02,history,1940200.0,,,,,
Public Sector,2021-03,history,936800.0,,,,,
Public Sector,2021-04,history,484700.0,,,,,
Public Sector,2021-05,history,644500.0,,,,,
Public Sector,2021-06,history,248500.0,,,,,
Public Sector,2021-07,history,16600.0,,,,,
Public Sector,2021-08,history,200400.0,,,,,
Public Sector,2021-09,history,460200.0,,,,,
Public Sector,2021-10,history,99400.0,,,,,
Public Sector,2021-11,history,291900.0,,,,,
Public Sector,2021-12,history,219200.0,,,,,
Public Sector,2022-01,history,352700.0,,,,,
Public Sector,2022-02,history,266600.0,,,,,
Public Sector,2022-03,history,48400.0,,,,,
Public Sector,2022-04,history,213300.0,,,,,
Public Sector,2022-05,history,244400.0,,,,,
Public Sector,2022-06,history,371100.0,,,,,
Public Sector,2022-07,history,564000.0,,,,,
Public Sector,2022-08,history,108600.0,,,,,
Public Sector,2022-09,history,709400.0,,,,,
Public Sector,2022-10,history,25200.0,,,,,
Public Sector,2022-11,history,767100.0,,,,,
Public Sector,2022-12,history,594700.0,,,,,
Public Sector,2023-01,history,642000.0,,,,,
Public Sector,2023-02,history,239800.0,,,,,
Public Sector,2023-03,history,1934000.0,,,,,
Public Sector,2023-04,history,431700.0,,,,,
Public Sector,2023-05,history,94800.0,,,,,
Public Sector,2023-06,history,0.0,,,,,
Public Sector,2023-07,history,13200.0,,,,,
Public Sector,2023-08,history,38300.0,,,,,
Public Sector,2023-09,history,337000.0,,,,,
Public Sector,2023-10,history,0.0,,,,,
Public Sector,2023-11,history,44900.0,,,,,
Public Sector,2023-12,history,259600.0,,,,,
Public Sector,2024-01,history,210900.0,,,,,
Public Sector,2024-02,history,119200.0,,,,,
Public Sector,2024-03,history,524400.0,,,,,
Public Sector,2024-04,history,96500.0,,,,,
Public Sector,2024-05,history,566500.0,,,,,
Public Sector,2024-06,history,52500.0,,,,,
Public Sector,2024-07,history,0.0,,,,,
Public Sector,2024-08,history,398000.0,,,,,
Public Sector,2024-09,history,11300.0,,,,,
Public Sector,2024-10,history,66600.0,,,,,
Public Sector,2024-11,history,894300.0,,,,,
Public Sector,2024-12,history,1025600.0,,,,,
Public Sector,2025-01,holdout,0.0,653515.594918439,,,,
Public Sector,2025-02,holdout,428500.0,505658.3253652411,,,,
Public Sector,2025-03,holdout,0.0,566177.5784045984,,,,
Public Sector,2025-04,holdout,42200.0,428898.19711735554,,,,
Public Sector,2025-05,holdout,1725600.0,426513.0267147868,,,,
Public Sector,2025-06,holdout,217900.0,627749.4950136738,,,,
Public Sector,2025-07,holdout,57200.0,495228.9356686969,,,,
Public Sector,2025-08,holdout,46600.0,788528.1623155043,,,,
Public Sector,2025-09,holdout,0.0,405912.51766353194,,,,
Public Sector,2025-10,holdout,33900.0,416826.5078539554,,,,
Public Sector,2025-11,holdout,117500.0,444057.9372951653,,,,
Public Sector,2025-12,holdout,929800.0,430362.0133522939,,,,
Public Sector,2026-01,forecast,,446151.1550835206,0.0,1023899.1077553851,0.0,1679811.128262465
Public Sector,2026-02,forecast,,453966.5167673734,0.0,1041835.0511317606,0.0,1709236.8764160797
Public Sector,2026-03,forecast,,453321.83215165534,0.0,1040355.5256496539,0.0,1706809.5636559005
Technology and Innovation,2021-01,history,372700.0,,,,,
Technology and Innovation,2021-02,history,1117300.0,,,,,
Technology and Innovation,2021-03,history,1087700.0,,,,,
Technology and Innovation,2021-04,history,359800.0,,,,,
Technology and Innovation,2021-05,history,14800.0,,,,,
Technology and Innovation,2021-06,history,1217900.0,,,,,
Technology and Innovation,2021-07,history,1051900.0,,,,,
Technology and Innovation,2021-08,history,65800.0,,,,,
Technology and Innovation,2021-09,history,19600.0,,,,,
Technology and Innovation,2021-10,history,171400.0,,,,,
Technology and Innovation,2021-11,history,18400.0,,,,,
Technology and Innovation,2021-12,history,906400.0,,,,,
Technology and Innovation,2022-01,history,355500.0,,,,,
Technology and Innovation,2022-02,history,38700.0,,,,,
Technology and Innovation,2022-03,history,318000.0,,,,,
Technology and Innovation,2022-04,history,768200.0,,,,,
Technology and Innovation,2022-05,history,285000.0,,,,,
Technology and Innovation,2022-06,history,132300.0,,,,,
Technology and Innovation,2022-07,history,274800.0,,,,,
Technology and Innovation,2022-08,history,714900.0,,,,,
Technology and Innovation,2022-09,history,1590300.0,,,,,
Technology and Innovation,2022-10,history,500000.0,,,,,
Technology and Innovation,2022-11,history,340100.0,,,,,
Technology and Innovation,2022-12,history,1288400.0,,,,,
Technology and Innovation,2023-01,history,1012100.0,,,,,
Technology and Innovation,2023-02,history,421500.0,,,,,
Technology and Innovation,2023-03,history,507600.0,,,,,
Technology and Innovation,2023-04,history,637500.0,,,,,
Technology and Innovation,2023-05,history,1301000.0,,,,,
Technology and Innovation,2023-06,history,149800.0,,,,,
Technology and Innovation,2023-07,history,336900.0,,,,,
Technology and Innovation,2023-08,history,1062800.0,,,,,
Technology and Innovation,2023-09,history,1026500.0,,,,,
Technology and Innovation,2023-10,history,957200.0,,,,,
Technology and Innovation,2023-11,history,641200.0,,,,,
Technology and Innovation,2023-12,history,1036700.0,,,,,
Technology and Innovation,2024-01,history,1476100.0,,,,,
Technology and Innovation,2024-02,history,1025600.0,,,,,
Technology and Innovation,2024-03,history,1019900.0,,,,,
Technology and Innovation,2024-04,history,1814100.0,,,,,
Technology and Innovation,2024-05,history,1112000.0,,,,,
Technology and Innovation,2024-06,history,498600.0,,,,,
Technology and Innovation,2024-07,history,959200.0,,,,,
Technology and Innovation,2024-08,history,2174900.0,,,,,
Technology and Innovation,2024-09,history,3488600.0,,,,,
Technology and Innovation,2024-10,history,783800.0,,,,,
Technology and Innovation,2024-11,history,1436300.0,,,,,
Technology and Innovation,2024-12,history,1453300.0,,,,,
Technology and Innovation,2025-01,holdout,816700.0,1002506.1871727302,,,,
Technology and Innovation,2025-02,holdout,3484800.0,1162212.4515838586,,,,
Technology and Innovation,2025-03,holdout,1350100.0,1543616.8896749406,,,,
